biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	assembly	filename
SAMN19077089	USA-CT-CDCBI-CRSP_KHN4JH3NU426HHDE-2021.l21R-118CR0484_000001321513	ARTICv3 amplicon sequencing of SARS-CoV-2 from patients	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	NEB_ARTICv1	bam	unaligned	USA-CT-CDCBI-CRSP_KHN4JH3NU426HHDE-2021.l21R-118CR0484_000001321513.HC2GYDRXY.1.cleaned.bam
SAMN19076674	USA-MA-CDCBI-CRSP_Q2GKIOAINEFWMYPC-2021.lF02939CB1A923548B85C_000001321413	ARTICv3 amplicon sequencing of SARS-CoV-2 from patients	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	NEB_ARTICv1	bam	unaligned	/USA-MA-CDCBI-CRSP_Q2GKIOAINEFWMYPC-2021.lF02939CB1A923548B85C_000001321413.HC2GYDRXY.1.cleaned.bam
SAMN19076945	USA-MA-CDCBI-CRSP_AY4JZIGRYBP5MOMD-2021.lF068C0B0ED83FAC0CF49_000001321913	ARTICv3 amplicon sequencing of SARS-CoV-2 from patients	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	NEB_ARTICv1	bam	unaligned	USA-MA-CDCBI-CRSP_AY4JZIGRYBP5MOMD-2021.lF068C0B0ED83FAC0CF49_000001321913.HC2GYDRXY.1.cleaned.bam
SAMN19077037	USA-MA-CDCBI-CRSP_4G677B7Y3KU7EVIS-2021.lF0CDDFB047F082714C45_000001321413	ARTICv3 amplicon sequencing of SARS-CoV-2 from patients	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	NEB_ARTICv1	bam	unaligned	USA-MA-CDCBI-CRSP_4G677B7Y3KU7EVIS-2021.lF0CDDFB047F082714C45_000001321413.HC2GYDRXY.1.cleaned.bam
SAMN19076572	USA-MA-CDCBI-CRSP_VNKGTZG2CPQ6PTE6-2021.lF18C9D7AEC1BAFD242AE_000001321013	ARTICv3 amplicon sequencing of SARS-CoV-2 from patients	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	NEB_ARTICv1	bam	unaligned	USA-MA-CDCBI-CRSP_VNKGTZG2CPQ6PTE6-2021.lF18C9D7AEC1BAFD242AE_000001321013.HC2GYDRXY.1.cleaned.bam
